theme,url,img,lines,author
RESPECT,https://www.passiton.com/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things,https://assets.passiton.com/quotes/quote_artwork/8375/medium/20250812_tuesday_quote.jpg,"Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love. #<Author:0x00007f24a3b6c820>",
RESPECT,https://www.passiton.com/inspirational-quotes/4404-in-recognizing-the-humanity-of-our-fellow,https://assets.passiton.com/quotes/quote_artwork/4404/medium/20250811_monday_quote.jpg,"In recognizing the humanity of our fellow beings, we pay ourselves the highest tribute. #<Author:0x00007f24a3b6b420>",
DRIVE,https://www.passiton.com/inspirational-quotes/6036-dont-let-the-fear-of-striking-out-hold-you-back,https://assets.passiton.com/quotes/quote_artwork/6036/medium/20250808_friday_quote.jpg,Don't let the fear of striking out hold you back. #<Author:0x00007f24a3b69c60>,
DRIVE,https://www.passiton.com/inspirational-quotes/6266-act-as-if-what-you-do-makes-a-difference-it,https://assets.passiton.com/quotes/quote_artwork/6266/medium/20250807_thursday_quote.jpg,Act as if what you do makes a difference. It does.  #<Author:0x00007f24a3b68fe0>,
DRIVE,https://www.passiton.com/inspirational-quotes/8450-a-champion-is-not-someone-who-wins-all-the,https://assets.passiton.com/quotes/quote_artwork/8450/medium/20250806_wednesday_quote.jpg,A champion is not someone who wins all the time. A champion is someone who gives everything they've got to win. #<Author:0x00007f24a3b685e0>,
DRIVE,https://www.passiton.com/inspirational-quotes/6356-obstacles-are-those-frightful-things-you-see,https://assets.passiton.com/quotes/quote_artwork/6356/medium/20250805_tuesday_quote.jpg,Obstacles are those frightful things you see when you take your eyes off the goal.  #<Author:0x00007f24a3b66ba0>,
DRIVE,https://www.passiton.com/inspirational-quotes/7355-its-faith-that-will-take-you-through-and,https://assets.passiton.com/quotes/quote_artwork/7355/medium/20250804_monday_quote.jpg,"It's faith that will take you through, and determination that will drive you. #<Author:0x00007f24a3b661a0>",
INTEGRITY,https://www.passiton.com/inspirational-quotes/8449-each-person-must-live-their-life-as-a-model-for,https://assets.passiton.com/quotes/quote_artwork/8449/medium/20250801_friday_quote.jpg,Each person must live their life as a model for others. #<Author:0x00007f24a3b65660>,
INTEGRITY,https://www.passiton.com/inspirational-quotes/6580-when-you-say-yes-to-others-make-sure-you-arent,https://assets.passiton.com/quotes/quote_artwork/6580/medium/20250731_thursday_quote.jpg,"When you say 'yes' to others, make sure you aren't saying 'no' to yourself. #<Author:0x00007f24a3b643a0>",
INTEGRITY,https://www.passiton.com/inspirational-quotes/8098-the-time-is-always-right-to-do-what-is-right,https://assets.passiton.com/quotes/quote_artwork/8098/medium/20250730_wednesday_quote.jpg,The time is always right to do what is right. #<Author:0x00007f24a3b63220>,
INTEGRITY,https://www.passiton.com/inspirational-quotes/8264-integrity-is-the-choice-between-whats,https://assets.passiton.com/quotes/quote_artwork/8264/medium/20250729_tuesday_quote.jpg,Integrity is the choice between what's convenient and what's right. #<Author:0x00007f24a3b62820>,
INTEGRITY,https://www.passiton.com/inspirational-quotes/8435-integrity-is-doing-the-right-thing-even-when,https://assets.passiton.com/quotes/quote_artwork/8435/medium/20250728_monday_quote.jpg,"Integrity is doing the right thing, even when no one is watching. #<Author:0x00007f24a3b61e20>",
PERSEVERANCE,https://www.passiton.com/inspirational-quotes/3878-the-way-i-see-it-if-you-want-the-rainbow-you,https://assets.passiton.com/quotes/quote_artwork/3878/medium/20250725_friday_quote.jpg,"The way I see it, if you want the rainbow, you gotta put up with the rain. #<Author:0x00007f24a3b61420>",
PERSEVERANCE,https://www.passiton.com/inspirational-quotes/8105-great-things-come-from-hard-work-and,https://assets.passiton.com/quotes/quote_artwork/8105/medium/20250724_thursday_quote.jpg,Great things come from hard work and perseverance. No excuses. #<Author:0x00007f24a3b9fb58>,
